member_ID,start_node,end_node,size,PI,V2I,V3I,TI,M2I,M3I,PJ,V2J,V3J,TJ,M2J,M3J,add_back?
CO0026,P010004,P020004,HSS254X254X9.5,True,True,True,True,True,True,True,True,True,True,True,True,False
CO0027,P020004,P030004,HSS254X254X9.5,True,True,True,True,True,True,True,True,True,True,True,True,False
CO0028,P030004,P040004,HSS254X254X9.5,True,True,True,True,True,True,True,True,True,True,True,True,False
CO0029,P040004,P050004,HSS254X254X9.5,True,True,True,True,True,True,True,True,True,True,True,True,False
CO0030,P050004,P060004,HSS254X254X9.5,True,True,True,True,True,True,True,True,True,True,True,True,False
CO0031,P060004,P070004,HSS254X254X9.5,True,True,True,True,True,True,True,True,True,True,True,True,False
CO0032,P070004,P080004,HSS254X254X9.5,True,True,True,True,True,True,True,True,True,True,True,True,False
CO0033,P080004,P090004,HSS254X254X9.5,True,True,True,True,True,True,True,True,True,True,True,True,False
CO0034,P090004,P100004,HSS254X254X9.5,True,True,True,True,True,True,True,True,True,True,True,True,False
CO0035,P100004,P110004,HSS254X254X9.5,True,True,True,True,True,True,True,True,True,True,True,True,False
CO0036,P110004,P120004,HSS254X254X9.5,True,True,True,True,True,True,True,True,True,True,True,True,False
CO0037,P000006,P010006,HSS304.8X304.8X9.5,True,True,True,True,True,True,True,True,True,True,True,True,False
CO0038,P010006,P020006,HSS304.8X304.8X9.5,True,True,True,True,True,True,True,True,True,True,True,True,False
CO0039,P020006,P030006,HSS304.8X304.8X9.5,True,True,True,True,True,True,True,True,True,True,True,True,False
CO0040,P030006,P040006,HSS304.8X304.8X9.5,True,True,True,True,True,True,True,True,True,True,True,True,False
CO0041,P040006,P050006,HSS304.8X304.8X9.5,True,True,True,True,True,True,True,True,True,True,True,True,False
CO0042,P050006,P060006,HSS304.8X304.8X9.5,True,True,True,True,True,True,True,True,True,True,True,True,False
CO0043,P060006,P070006,HSS304.8X304.8X9.5,True,True,True,True,True,True,True,True,True,True,True,True,False
CO0044,P070006,P080006,HSS304.8X304.8X9.5,True,True,True,True,True,True,True,True,True,True,True,True,False
CO0045,P080006,P090006,HSS304.8X304.8X9.5,True,True,True,True,True,True,True,True,True,True,True,True,False
CO0046,P090006,P100006,HSS304.8X304.8X9.5,True,True,True,True,True,True,True,True,True,True,True,True,False
CO0047,P100006,P110006,HSS304.8X304.8X9.5,True,True,True,True,True,True,True,True,True,True,True,True,False
CO0048,P110006,P120006,HSS304.8X304.8X9.5,True,True,True,True,True,True,True,True,True,True,True,True,False
BE0001,P010000,P010001,HSS152.4X152.4X4.8,True,True,True,True,False,False,True,True,True,True,True,True,False
BE0002,P020000,P020001,HSS127X127X4.8,True,True,True,True,False,False,True,True,True,True,True,True,False
BE0003,P030000,P030001,HSS114.3X114.3X4.8,True,True,True,True,False,False,True,True,True,True,True,True,False
BE0004,P040000,P040001,HSS101.6X101.6X3.2,True,True,True,True,False,False,True,True,True,True,True,True,False
BE0005,P050000,P050001,HSS101.6X101.6X4.8,True,True,True,True,False,False,True,True,True,True,True,True,False
BE0006,P060000,P060001,HSS139.7X139.7X4.8,True,True,True,True,False,False,True,True,True,True,True,True,False
BE0007,P070000,P070001,HSS101.6X101.6X3.2,True,True,True,True,False,False,True,True,True,True,True,True,False
BE0008,P080000,P080001,HSS101.6X101.6X3.2,True,True,True,True,False,False,True,True,True,True,True,True,False
BE0009,P090000,P090001,HSS114.3X114.3X4.8,True,True,True,True,False,False,True,True,True,True,True,True,False
BE0010,P100000,P100001,HSS101.6X101.6X3.2,True,True,True,True,False,False,True,True,True,True,True,True,False
BE0011,P110000,P110001,HSS101.6X101.6X4.8,True,True,True,True,False,False,True,True,True,True,True,True,False
BE0012,P120000,P120001,HSS254X254X9.5,True,True,True,True,False,False,True,True,True,True,True,True,False
BE0013,P010001,P010002,HSS152.4X152.4X4.8,True,True,True,True,True,True,True,True,True,True,False,False,False
BE0014,P020001,P020002,HSS127X127X4.8,True,True,True,True,True,True,True,True,True,True,False,False,False
BE0015,P030001,P030002,HSS114.3X114.3X4.8,True,True,True,True,True,True,True,True,True,True,False,False,False
BE0016,P040001,P040002,HSS101.6X101.6X3.2,True,True,True,True,True,True,True,True,True,True,False,False,False
BE0017,P050001,P050002,HSS101.6X101.6X4.8,True,True,True,True,True,True,True,True,True,True,False,False,False
BE0018,P060001,P060002,HSS139.7X139.7X4.8,True,True,True,True,True,True,True,True,True,True,False,False,False
BE0019,P070001,P070002,HSS101.6X101.6X3.2,True,True,True,True,True,True,True,True,True,True,False,False,False
BE0020,P080001,P080002,HSS101.6X101.6X3.2,True,True,True,True,True,True,True,True,True,True,False,False,False
BE0021,P090001,P090002,HSS114.3X114.3X4.8,True,True,True,True,True,True,True,True,True,True,False,False,False
BE0022,P100001,P100002,HSS101.6X101.6X3.2,True,True,True,True,True,True,True,True,True,True,False,False,False
BE0023,P110001,P110002,HSS101.6X101.6X4.8,True,True,True,True,True,True,True,True,True,True,False,False,False
BE0024,P120001,P120002,HSS254X254X9.5,True,True,True,True,True,True,True,True,True,True,False,False,False
BE0025,P010002,P010003,HSS127X127X4.8,True,True,True,True,False,False,True,True,True,True,True,True,False
BE0026,P020002,P020003,HSS139.7X139.7X4.8,True,True,True,True,False,False,True,True,True,True,True,True,False
BE0027,P030002,P030003,HSS127X127X4.8,True,True,True,True,False,False,True,True,True,True,True,True,False
BE0028,P040002,P040003,HSS88.9X88.9X3.2,True,True,True,True,False,False,True,True,True,True,True,True,False
BE0029,P050002,P050003,HSS152.4X152.4X4.8,True,True,True,True,False,False,True,True,True,True,True,True,False
BE0030,P060002,P060003,HSS177.8X177.8X6.4,True,True,True,True,False,False,True,True,True,True,True,True,False
BE0031,P070002,P070003,HSS254X254X9.5,True,True,True,True,False,False,True,True,True,True,True,True,False
BE0032,P080002,P080003,HSS152.4X152.4X6.4,True,True,True,True,False,False,True,True,True,True,True,True,False
BE0033,P090002,P090003,HSS114.3X114.3X4.8,True,True,True,True,False,False,True,True,True,True,True,True,False
BE0034,P100002,P100003,HSS88.9X88.9X3.2,True,True,True,True,False,False,True,True,True,True,True,True,False
BE0035,P110002,P110003,HSS101.6X101.6X4.8,True,True,True,True,False,False,True,True,True,True,True,True,False
BE0036,P120002,P120003,HSS254X254X9.5,True,True,True,True,False,False,True,True,True,True,True,True,False
BE0037,P010003,P010004,HSS127X127X4.8,True,True,True,True,True,True,True,True,True,True,False,False,False
BE0038,P020003,P020004,HSS139.7X139.7X4.8,True,True,True,True,True,True,True,True,True,True,False,False,False
BE0039,P030003,P030004,HSS127X127X4.8,True,True,True,True,True,True,True,True,True,True,False,False,False
BE0040,P040003,P040004,HSS88.9X88.9X3.2,True,True,True,True,True,True,True,True,True,True,False,False,False
BE0041,P050003,P050004,HSS152.4X152.4X4.8,True,True,True,True,True,True,True,True,True,True,False,False,False
BE0042,P060003,P060004,HSS177.8X177.8X6.4,True,True,True,True,True,True,True,True,True,True,False,False,False
BE0043,P070003,P070004,HSS254X254X9.5,True,True,True,True,True,True,True,True,True,True,False,False,False
BE0044,P080003,P080004,HSS152.4X152.4X6.4,True,True,True,True,True,True,True,True,True,True,False,False,False
BE0045,P090003,P090004,HSS114.3X114.3X4.8,True,True,True,True,True,True,True,True,True,True,False,False,False
BE0046,P100003,P100004,HSS88.9X88.9X3.2,True,True,True,True,True,True,True,True,True,True,False,False,False
BE0047,P110003,P110004,HSS101.6X101.6X4.8,True,True,True,True,True,True,True,True,True,True,False,False,False
BE0048,P120003,P120004,HSS254X254X9.5,True,True,True,True,True,True,True,True,True,True,False,False,False
BE0049,P010004,P010005,HSS127X127X4.8,True,True,True,True,False,False,True,True,True,True,True,True,False
BE0050,P020004,P020005,HSS114.3X114.3X4.8,True,True,True,True,False,False,True,True,True,True,True,True,False
BE0051,P030004,P030005,HSS177.8X177.8X6.4,True,True,True,True,False,False,True,True,True,True,True,True,False
BE0052,P040004,P040005,HSS152.4X152.4X6.4,True,True,True,True,False,False,True,True,True,True,True,True,False
BE0053,P050004,P050005,HSS152.4X152.4X6.4,True,True,True,True,False,False,True,True,True,True,True,True,False
BE0054,P060004,P060005,HSS152.4X152.4X4.8,True,True,True,True,False,False,True,True,True,True,True,True,False
BE0055,P070004,P070005,HSS177.8X177.8X6.4,True,True,True,True,False,False,True,True,True,True,True,True,False
BE0056,P080004,P080005,HSS101.6X101.6X4.8,True,True,True,True,False,False,True,True,True,True,True,True,False
BE0057,P090004,P090005,HSS114.3X114.3X4.8,True,True,True,True,False,False,True,True,True,True,True,True,False
BE0058,P100004,P100005,HSS114.3X114.3X4.8,True,True,True,True,False,False,True,True,True,True,True,True,False
BE0059,P110004,P110005,HSS114.3X114.3X4.8,True,True,True,True,False,False,True,True,True,True,True,True,False
BE0060,P120004,P120005,HSS254X254X9.5,True,True,True,True,False,False,True,True,True,True,True,True,False
BE0061,P010005,P010006,HSS127X127X4.8,True,True,True,True,True,True,True,True,True,True,False,False,False
BE0062,P020005,P020006,HSS114.3X114.3X4.8,True,True,True,True,True,True,True,True,True,True,False,False,False
BE0063,P030005,P030006,HSS177.8X177.8X6.4,True,True,True,True,True,True,True,True,True,True,False,False,False
BE0064,P040005,P040006,HSS152.4X152.4X6.4,True,True,True,True,True,True,True,True,True,True,False,False,False
BE0065,P050005,P050006,HSS152.4X152.4X6.4,True,True,True,True,True,True,True,True,True,True,False,False,False
BE0066,P060005,P060006,HSS152.4X152.4X4.8,True,True,True,True,True,True,True,True,True,True,False,False,False
BE0067,P070005,P070006,HSS177.8X177.8X6.4,True,True,True,True,True,True,True,True,True,True,False,False,False
BE0068,P080005,P080006,HSS101.6X101.6X4.8,True,True,True,True,True,True,True,True,True,True,False,False,False
BE0069,P090005,P090006,HSS114.3X114.3X4.8,True,True,True,True,True,True,True,True,True,True,False,False,False
BE0070,P100005,P100006,HSS114.3X114.3X4.8,True,True,True,True,True,True,True,True,True,True,False,False,False
BE0071,P110005,P110006,HSS114.3X114.3X4.8,True,True,True,True,True,True,True,True,True,True,False,False,False
BE0072,P120005,P120006,HSS254X254X9.5,True,True,True,True,True,True,True,True,True,True,False,False,False
BR0001,P000000,P010001,0,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0002,P010000,P000001,0,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0003,P000001,P010002,HSS177.8X177.8X6.4,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0004,P010001,P000002,0,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0005,P000002,P010003,0,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0006,P010002,P000003,0,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0007,P000003,P010004,0,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0008,P010003,P000004,0,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0009,P000004,P010005,0,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0010,P010004,P000005,0,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0011,P000005,P010006,0,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0012,P010005,P000006,0,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0013,P010000,P020001,HSS127X127X4.8,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0014,P020000,P010001,0,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0015,P010001,P020002,HSS50.8X50.8X3.2,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0016,P020001,P010002,0,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0017,P010002,P020003,HSS139.7X139.7X4.8,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0018,P020002,P010003,0,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0019,P010003,P020004,0,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0020,P020003,P010004,0,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0021,P010004,P020005,0,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0022,P020004,P010005,0,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0023,P010005,P020006,0,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0024,P020005,P010006,HSS114.3X114.3X4.8,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0025,P020000,P030001,0,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0026,P030000,P020001,0,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0027,P020001,P030002,HSS127X127X4.8,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0028,P030001,P020002,0,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0029,P020002,P030003,HSS50.8X50.8X3.2,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0030,P030002,P020003,0,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0031,P020003,P030004,HSS139.7X139.7X4.8,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0032,P030003,P020004,HSS50.8X50.8X3.2,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0033,P020004,P030005,0,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0034,P030004,P020005,HSS114.3X114.3X4.8,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0035,P020005,P030006,0,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0036,P030005,P020006,0,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0037,P030000,P040001,0,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0038,P040000,P030001,0,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0039,P030001,P040002,0,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0040,P040001,P030002,0,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0041,P030002,P040003,HSS50.8X50.8X3.2,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0042,P040002,P030003,0,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0043,P030003,P040004,0,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0044,P040003,P030004,0,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0045,P030004,P040005,0,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0046,P040004,P030005,0,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0047,P030005,P040006,0,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0048,P040005,P030006,HSS152.4X152.4X6.4,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0049,P040000,P050001,0,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0050,P050000,P040001,0,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0051,P040001,P050002,HSS50.8X50.8X3.2,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0052,P050001,P040002,0,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0053,P040002,P050003,0,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0054,P050002,P040003,0,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0055,P040003,P050004,0,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0056,P050003,P040004,0,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0057,P040004,P050005,0,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0058,P050004,P040005,HSS152.4X152.4X6.4,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0059,P040005,P050006,0,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0060,P050005,P040006,0,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0061,P050000,P060001,0,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0062,P060000,P050001,0,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0063,P050001,P060002,0,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0064,P060001,P050002,0,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0065,P050002,P060003,HSS152.4X152.4X4.8,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0066,P060002,P050003,0,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0067,P050003,P060004,0,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0068,P060003,P050004,HSS152.4X152.4X4.8,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0069,P050004,P060005,0,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0070,P060004,P050005,0,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0071,P050005,P060006,0,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0072,P060005,P050006,HSS50.8X50.8X3.2,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0073,P060000,P070001,0,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0074,P070000,P060001,0,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0075,P060001,P070002,0,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0076,P070001,P060002,0,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0077,P060002,P070003,0,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0078,P070002,P060003,0,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0079,P060003,P070004,0,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0080,P070003,P060004,0,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0081,P060004,P070005,0,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0082,P070004,P060005,0,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0083,P060005,P070006,0,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0084,P070005,P060006,0,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0085,P070000,P080001,0,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0086,P080000,P070001,0,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0087,P070001,P080002,0,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0088,P080001,P070002,0,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0089,P070002,P080003,0,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0090,P080002,P070003,0,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0091,P070003,P080004,HSS114.3X114.3X4.8,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0092,P080003,P070004,0,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0093,P070004,P080005,0,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0094,P080004,P070005,HSS101.6X101.6X3.2,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0095,P070005,P080006,0,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0096,P080005,P070006,0,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0097,P080000,P090001,0,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0098,P090000,P080001,0,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0099,P080001,P090002,0,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0100,P090001,P080002,0,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0101,P080002,P090003,0,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0102,P090002,P080003,HSS101.6X101.6X9.5,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0103,P080003,P090004,HSS127X127X4.8,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0104,P090003,P080004,0,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0105,P080004,P090005,0,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0106,P090004,P080005,0,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0107,P080005,P090006,0,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0108,P090005,P080006,0,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0109,P090000,P100001,0,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0110,P100000,P090001,0,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0111,P090001,P100002,0,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0112,P100001,P090002,0,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0113,P090002,P100003,0,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0114,P100002,P090003,0,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0115,P090003,P100004,0,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0116,P100003,P090004,0,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0117,P090004,P100005,HSS114.3X114.3X4.8,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0118,P100004,P090005,0,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0119,P090005,P100006,0,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0120,P100005,P090006,0,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0121,P100000,P110001,HSS50.8X50.8X3.2,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0122,P110000,P100001,0,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0123,P100001,P110002,0,True,True,True,True,False,False,True,True,True,True,False,False,False
BR0124,P110001,P100002,0,True,True,True,True,False,False,True,True,True,True,False,False,False
