member_ID,start_node,end_node,member_length,member_type
BR0038,P040000,P030001,5588.971998,3
BR0039,P030001,P040002,5588.971998,3
BR0040,P040001,P030002,5588.971998,3
BR0041,P030002,P040003,5588.971998,3
BR0042,P040002,P030003,5588.971998,3
BR0043,P030003,P040004,5588.971998,3
BR0044,P040003,P030004,5588.971998,3
BR0045,P030004,P040005,5588.971998,3
BR0046,P040004,P030005,5588.971998,3
BR0047,P030005,P040006,5588.971998,3
BR0048,P040005,P030006,5588.971998,3
BR0049,P040000,P050001,5588.971998,3
BR0050,P050000,P040001,5588.971998,3
BR0051,P040001,P050002,5588.971998,3
BR0052,P050001,P040002,5588.971998,3
BR0053,P040002,P050003,5588.971998,3
BR0054,P050002,P040003,5588.971998,3
BR0055,P040003,P050004,5588.971998,3
BR0056,P050003,P040004,5588.971998,3
BR0057,P040004,P050005,5588.971998,3
BR0058,P050004,P040005,5588.971998,3
BR0059,P040005,P050006,5588.971998,3
BR0060,P050005,P040006,5588.971998,3
BR0061,P050000,P060001,5588.971998,3
BR0062,P060000,P050001,5588.971998,3
BR0063,P050001,P060002,5588.971998,3
BR0064,P060001,P050002,5588.971998,3
BR0065,P050002,P060003,5588.971998,3
BR0066,P060002,P050003,5588.971998,3
BR0067,P050003,P060004,5588.971998,3
BR0068,P060003,P050004,5588.971998,3
BR0069,P050004,P060005,5588.971998,3
BR0070,P060004,P050005,5588.971998,3
BR0071,P050005,P060006,5588.971998,3
BR0072,P060005,P050006,5588.971998,3
BR0073,P060000,P070001,5588.971998,3
BR0074,P070000,P060001,5588.971998,3
BR0075,P060001,P070002,5588.971998,3
BR0076,P070001,P060002,5588.971998,3
BR0077,P060002,P070003,5588.971998,3
BR0078,P070002,P060003,5588.971998,3
BR0079,P060003,P070004,5588.971998,3
BR0080,P070003,P060004,5588.971998,3
BR0081,P060004,P070005,5588.971998,3
BR0082,P070004,P060005,5588.971998,3
BR0083,P060005,P070006,5588.971998,3
BR0084,P070005,P060006,5588.971998,3
BR0085,P070000,P080001,5588.971998,3
BR0086,P080000,P070001,5588.971998,3
BR0087,P070001,P080002,5588.971998,3
BR0088,P080001,P070002,5588.971998,3
BR0089,P070002,P080003,5588.971998,3
