Node_ID,Load_Combination,u1,u2,u3,r1,r2,r3
P000000,WindXCombo,0,0,0,0,0,0
P000001,WindXCombo,0,0,0,0,0,0
P000002,WindXCombo,0,0,0,0,0,0
P000003,WindXCombo,0,0,0,0,0,0
P000004,WindXCombo,0,0,0,0,0,0
P000005,WindXCombo,0,0,0,0,0,0
P000006,WindXCombo,0,0,0,0,0,0
P010000,WindXCombo,10.397843745233,0,10.9682804806824,0,0.00245370306316798,0
P010001,WindXCombo,6.34631996182448,0,4.66727792471597,0,0.00125192323868731,0
P010002,WindXCombo,4.70336804883164,0,2.5157206095216,0,0.00130953959249424,0
P010003,WindXCombo,4.17440625731909,0,-0.131928169189704,0,0.000831411921184863,0
P010004,WindXCombo,4.29472356699477,0,-2.54843419103592,0,0.00123464272353739,0
P010005,WindXCombo,5.38389464558555,0,-4.83177508414226,0,0.00113476613798763,0
P010006,WindXCombo,8.49942276703771,0,-10.2763122569334,0,0.00210074005514466,0
P020000,WindXCombo,19.6977236757167,0,19.7445238218165,0,0.0023631159096106,0
P020001,WindXCombo,15.7720687978685,0,12.3634737799105,0,0.00182577444056865,0
P020002,WindXCombo,13.1566965577317,0,5.4623360106528,0,0.00211960268829473,0
P020003,WindXCombo,12.2123498591889,0,0.0408080805516117,0,0.00149073995821697,0
P020004,WindXCombo,12.3652606776259,0,-5.19886638246548,0,0.00204772221698607,0
P020005,WindXCombo,14.0418380179114,0,-11.7757972109603,0,0.00173739111976686,0
P020006,WindXCombo,16.9302702027771,0,-18.6908489512552,0,0.0022208582906492,0
P030000,WindXCombo,30.0491898844689,0,27.2737215824306,0,0.00279445881648852,0
P030001,WindXCombo,26.8080367173644,0,17.8870867045482,0,0.00242190177899588,0
P030002,WindXCombo,24.4996449875207,0,8.5519545136523,0,0.0027574434217272,0
P030003,WindXCombo,23.3091744094213,0,0.348772067158109,0,0.00215412136902915,0
P030004,WindXCombo,23.4401303165144,0,-7.70528704301374,0,0.00270909263713561,0
P030005,WindXCombo,24.7060682967349,0,-16.7747340339783,0,0.00235179787984854,0
P030006,WindXCombo,26.9222249753378,0,-25.8512615039156,0,0.00272531204184068,0
P040000,WindXCombo,42.2954979310929,0,33.4678544190404,0,0.00322997668858604,0
P040001,WindXCombo,39.5336163732517,0,22.1982309529061,0,0.00287932256221001,0
P040002,WindXCombo,37.558100801376,0,11.070697374581,0,0.00318957672498627,0
P040003,WindXCombo,36.4740786641789,0,0.719513724551204,0,0.00268855564126641,0
P040004,WindXCombo,36.4120385881165,0,-9.58454685146637,0,0.0031718046913477,0
P040005,WindXCombo,37.2865174581316,0,-20.5622457236481,0,0.00283727586691555,0
P040006,WindXCombo,38.9913600257919,0,-31.6396875713287,0,0.00319820248423159,0
P050000,WindXCombo,56.035025732801,0,38.4246007488741,0,0.00356411188786526,0
P050001,WindXCombo,53.6770993682804,0,25.6790811402849,0,0.00324778825687916,0
P050002,WindXCombo,51.9732540974017,0,13.0552911991432,0,0.00352555634318526,0
P050003,WindXCombo,50.9997585357778,0,1.05704992439521,0,0.00310420754870586,0
P050004,WindXCombo,50.81970369626,0,-10.9298748025486,0,0.00352109793008257,0
P050005,WindXCombo,51.3962040866432,0,-23.4789509430235,0,0.00322675234106326,0
P050006,WindXCombo,52.6711918449562,0,-36.1324086437937,0,0.00355443408010308,0
P060000,WindXCombo,70.8707496501707,0,42.2876024357854,0,0.00380718336077889,0
P060001,WindXCombo,68.8723843730509,0,28.4054842662334,0,0.00353125049308905,0
P060002,WindXCombo,67.3951395211638,0,14.6287495025358,0,0.00377276684673018,0
P060003,WindXCombo,66.5031878041608,0,1.37038286496011,0,0.00341517872741816,0
P060004,WindXCombo,66.2468590213319,0,-11.8844739798418,0,0.00377158407727255,0
P060005,WindXCombo,66.5945437639226,0,-25.6311433385857,0,0.00352318822434022,0
P060006,WindXCombo,67.49941234799,0,-39.4807094273402,0,0.00380525090710986,0
P070000,WindXCombo,86.4757702375646,0,45.1972945528854,0,0.00397138513954581,0
P070001,WindXCombo,84.7816700117571,0,30.4876669357555,0,0.00373660266114597,0
P070002,WindXCombo,83.4879610024502,0,15.8711040546232,0,0.00394083986057901,0
P070003,WindXCombo,82.6580634957194,0,1.67388764078774,0,0.00364288209226495,0
P070004,WindXCombo,82.339569528575,0,-12.520144223974,0,0.00393968589204166,0
P070005,WindXCombo,82.5022875808291,0,-27.1396493998027,0,0.00373751810538442,0
P070006,WindXCombo,83.1005505545966,0,-41.8519569258188,0,0.00397000072234818,0
P080000,WindXCombo,102.553016669112,0,47.2979384103656,0,0.00406561683678385,0
P080001,WindXCombo,101.111148649862,0,32.0384622236897,0,0.00387309914961291,0
P080002,WindXCombo,99.9638126598245,0,16.8502315485702,0,0.00404112561967808,0
P080003,WindXCombo,99.1758742619769,0,1.98061196556128,0,0.00380321981551844,0
P080004,WindXCombo,98.8021591101158,0,-12.8855871278309,0,0.00404073385320822,0
P080005,WindXCombo,98.816556200099,0,-28.1140017254507,0,0.0038845179644936,0
P080006,WindXCombo,99.1695774374118,0,-43.4229523764837,0,0.00406697040478093,0
P090000,WindXCombo,118.84791364685,0,48.7361547325219,0,0.00410239004592585,0
P090001,WindXCombo,117.609745892179,0,33.1535894363287,0,0.00394981388027969,0
P090002,WindXCombo,116.577238030657,0,17.632377660366,0,0.00408142226228888,0
P090003,WindXCombo,115.812494360225,0,2.31651367919676,0,0.00391104581618377,0
P090004,WindXCombo,115.39881448741,0,-13.0308737000919,0,0.00409207472895357,0
P090005,WindXCombo,115.308234987594,0,-28.6672492358294,0,0.00398009628541795,0
P090006,WindXCombo,115.47574329554,0,-44.3691822024456,0,0.00411487776150359,0
P100000,WindXCombo,135.168310674643,0,49.6605761935604,0,0.00409979038542918,0
P100001,WindXCombo,134.067950922781,0,33.9301459559456,0,0.00398145163547389,0
P100002,WindXCombo,133.096243623084,0,18.2886333779391,0,0.00407654963925724,0
P100003,WindXCombo,132.378712408492,0,2.69027965768515,0,0.0039800019999783,0
P100004,WindXCombo,131.97039511151,0,-13.0230272038614,0,0.00410851844786833,0
P100005,WindXCombo,131.814466031964,0,-28.9085305584294,0,0.00403715367360241,0
P100006,WindXCombo,131.862325690558,0,-44.8620876528427,0,0.00412788531071206,0
P110000,WindXCombo,151.349014940625,0,50.2002612191285,0,0.00396928158835878,0
P110001,WindXCombo,150.252718721319,0,34.6126638027704,0,0.00396715119781656,0
P110002,WindXCombo,149.369943520385,0,18.8601927529829,0,0.00406363652005361,0
P110003,WindXCombo,148.784364840681,0,2.98244459832192,0,0.00402072576184028,0
P110004,WindXCombo,148.401924503021,0,-12.9109113047339,0,0.0041082701500778,0
P110005,WindXCombo,148.240289985182,0,-28.9789056200901,0,0.00406682046336099,0
P110006,WindXCombo,148.208648136693,0,-45.0530227493838,0,0.00412073907925424,0
P120000,WindXCombo,166.558309135078,0,50.3878611243486,0,0.00382454250642789,0
P120001,WindXCombo,166.015040018388,0,35.5190827506143,0,0.00394879034146694,0
P120002,WindXCombo,165.461521143933,0,19.1384411011243,0,0.00406821381266595,0
P120003,WindXCombo,164.998416218888,0,3.45830436981662,0,0.00402587086621162,0
P120004,WindXCombo,164.695769102069,0,-12.8343631380652,0,0.0041078796192035,0
P120005,WindXCombo,164.536511887047,0,-28.8854125670972,0,0.00406925140673615,0
P120006,WindXCombo,164.490507816412,0,-45.0990118877076,0,0.0041169218704324,0
