node_ID,X,Y,Z,member_ID,ground?,load_bearing?,U1,U2,U3,R1,R2,R3,remove?,add_back? 
P001115,16353254.45,13445068.67,58197.74855,CO0001,True,False,True,True,True,True,True,True,False,FALSE 
P001116,16351257.2,13444964.0,58197.74855,CO0002,True,False,True,True,True,True,True,True,False,FALSE 
P001117,16349259.94,13444859.33,58197.74855,CO0003,True,False,True,True,True,True,True,True,False,FALSE 
P001118,16347262.68,13444754.66,58197.74855,CO0004,True,False,True,True,True,True,True,True,False,FALSE 
P001119,16345265.42,13444649.98,58197.74855,CO0005,True,False,True,True,True,True,True,True,False,FALSE 
P001120,16343268.16,13444545.31,58197.74855,CO0006,True,False,True,True,True,True,True,True,False,FALSE 
P001121,16341270.9,13444440.64,58197.74855,CO0007,True,False,True,True,True,True,True,True,False,FALSE 
P001122,16339273.64,13444335.97,58197.74855,CO0008,True,False,True,True,True,True,True,True,False,FALSE 
P001123,16337276.38,13444231.3,58197.74855,CO0009,True,False,True,True,True,True,True,True,False,FALSE 
P001124,16335279.12,13444126.62,58197.74855,CO0010,True,False,True,True,True,True,True,True,False,FALSE 
P001217,16349364.61,13442862.07,58197.74855,CO0011,True,False,True,True,True,True,True,True,False,FALSE 
P001218,16347367.35,13442757.4,58197.74855,CO0012,True,False,True,True,True,True,True,True,False,FALSE 
P001219,16345370.09,13442652.72,58197.74855,CO0013,True,False,True,True,True,True,True,True,False,FALSE 
P001220,16343372.83,13442548.05,58197.74855,CO0014,True,False,True,True,True,True,True,True,False,FALSE 
P001221,16341375.57,13442443.38,58197.74855,CO0015,True,False,True,True,True,True,True,True,False,FALSE 
P001222,16339378.31,13442338.71,58197.74855,CO0016,True,False,True,True,True,True,True,True,False,FALSE 
P001223,16337381.05,13442234.04,58197.74855,CO0017,True,False,True,True,True,True,True,True,False,FALSE 
P001224,16335383.79,13442129.36,58197.74855,CO0018,True,False,True,True,True,True,True,True,False,FALSE 
P001225,16333386.54,13442024.69,58197.74855,CO0019,True,False,True,True,True,True,True,True,False,FALSE 
P001319,16345474.76,13440655.47,58197.74855,CO0020,True,False,True,True,True,True,True,True,False,FALSE 
P001320,16343477.5,13440550.79,58197.74855,CO0021,True,False,True,True,True,True,True,True,False,FALSE 
P001321,16341480.24,13440446.12,58197.74855,CO0022,True,False,True,True,True,True,True,True,False,FALSE 
P001322,16339482.98,13440341.45,58197.74855,CO0023,True,False,True,True,True,True,True,True,False,FALSE 
P001323,16337485.73,13440236.78,58197.74855,CO0024,True,False,True,True,True,True,True,True,False,FALSE 
P001324,16335488.47,13440132.11,58197.74855,CO0025,True,False,True,True,True,True,True,True,False,FALSE 
P011115,16353254.45,13445068.67,60197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
P011116,16351257.2,13444964.0,60197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
P011117,16349259.94,13444859.33,60197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
P011118,16347262.68,13444754.66,60197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
P011119,16345265.42,13444649.98,60197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
P011120,16343268.16,13444545.31,60197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
P011121,16341270.9,13444440.64,60197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
P011122,16339273.64,13444335.97,60197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
P011123,16337276.38,13444231.3,60197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
P011124,16335279.12,13444126.62,60197.74855,0,False,True,False,False,False,False,False,False,False,FALSE 
P011217,16349364.61,13442862.07,60197.74855,0,False,True,False,False,False,False,False,False,False,FALSE 
P011218,16347367.35,13442757.4,60197.74855,0,False,True,False,False,False,False,False,False,False,FALSE 
P011219,16345370.09,13442652.72,60197.74855,0,False,True,False,False,False,False,False,False,False,FALSE 
P011220,16343372.83,13442548.05,60197.74855,0,False,True,False,False,False,False,False,False,False,FALSE 
P011221,16341375.57,13442443.38,60197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
P011222,16339378.31,13442338.71,60197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
P011223,16337381.05,13442234.04,60197.74855,0,False,True,False,False,False,False,False,False,False,FALSE 
P011224,16335383.79,13442129.36,60197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
P011225,16333386.54,13442024.69,60197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
P011319,16345474.76,13440655.47,60197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
P011320,16343477.5,13440550.79,60197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
P011321,16341480.24,13440446.12,60197.74855,0,False,True,False,False,False,False,False,False,False,FALSE 
P011322,16339482.98,13440341.45,60197.74855,0,False,True,False,False,False,False,False,False,False,FALSE 
P011323,16337485.73,13440236.78,60197.74855,0,False,True,False,False,False,False,False,False,False,FALSE 
P011324,16335488.47,13440132.11,60197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
P021115,16353254.45,13445068.67,62197.74855,0,False,True,False,False,False,False,False,False,False,FALSE 
P021116,16351257.2,13444964.0,62197.74855,0,False,True,False,False,False,False,False,False,False,FALSE 
P021117,16349259.94,13444859.33,62197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
P021118,16347262.68,13444754.66,62197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
P021119,16345265.42,13444649.98,62197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
P021120,16343268.16,13444545.31,62197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
P021121,16341270.9,13444440.64,62197.74855,0,False,False,False,False,False,False,False,False,False,FALSE 
P021122,16339273.64,13444335.97,62197.74855,0,False,True,False,False,False,False,False,False,False,FALSE 
P021123,16337276.38,13444231.3,62197.74855,0,False,True,False,False,False,False,False,False,False,FALSE 
P021218,16347367.35,13442757.4,62197.74855,0,False,True,False,False,False,False,False,False,False,FALSE 
P021219,16345370.09,13442652.72,62197.74855,0,False,True,False,False,False,False,False,False,False,FALSE 
P021220,16343372.83,13442548.05,62197.74855,0,False,True,False,False,False,False,False,False,False,FALSE 
