member_ID,Start_Node,End_Node,Governing_Load_Case,P,Mx,My,DC_Ratio
BR0173,P001320,X001320226,Wind X + 0.3 Wind Y,-27909.3068243799,-308554.600059935,13917.6417863152,0.145182624535969
BR0174,P011321,X001320226,1.2D+1.6L,-10871.0436639515,-449621.810348153,-44811.49782021,0.212477879787314
BR0177,P001320,X001220143,0.3 Wind -X + Wind -Y,-41272.9083533862,-197396.143401945,31152.8681789505,0.279656681652632
BR0178,P011220,X001220143,0.3 Wind -X + Wind -Y,-41040.6977048834,-146006.888222098,17451.451913555,0.269294423360793
CO0022,P001321,P011321,0.3 Wind X + Wind -Y,-66931.7734506946,1333625.49060696,-3838898.38961777,0.281300379711879
BR0179,P001321,X001321234,1.2D+1.6L,-13401.5103068541,-931487.607023294,17045.7306670575,0.229160404468824
BR0180,P011322,X001321234,1.2D+1.6L,-13125.0127838576,-932320.660113134,-41404.5109110914,0.314471513582225
BR0181,P001321,X001320226,1.2D+1.6L,141.946619483215,-572265.956298826,19449.2370369899,0.116991187610651
BR0182,P011320,X001320226,1.2D+1.6L,440.146870595573,-570024.359661673,-26965.8807171138,0.117070987866394
BR0183,P001321,X001221158,0.3 Wind -X + Wind Y,14473.7155029377,-2360873.52277591,-13258.5044158568,0.515666115922398
BR0184,P011221,X001221158,0.3 Wind -X + Wind Y,14706.1372569091,-2356574.53408296,-20429.2805511235,1.48839460507313
CO0023,P001322,P011322,0.3 Wind X + Wind -Y,-74787.9600132262,1209385.11757655,-3368824.6985072,0.26426416330523
BR0185,P001322,X001322242,1.2D+1.6L,-21891.5789473155,-2100012.92254374,15135.7883250746,0.492464072691298
BR0186,P011323,X001322242,1.2D+1.6L,-21627.5069127384,-2093887.23576743,-67146.5915728639,1.33477882592923
BR0187,P001322,X001321234,1.2D+1.6L,-8546.44412653315,-908223.023172821,20604.4050511165,0.210044351770817
BR0188,P011321,X001321234,1.2D+1.6L,-8259.86977877409,-909270.49205718,-34289.0408935864,0.287732745749616
