member_ID,start_node,end_node,size,PI,V2I,V3I,TI,M2I,M3I,PJ,V2J,V3J,TJ,M2J,M3J,add_back?
CO0042,P050006,P060006,HSS228.6X228.6X7.9,True,True,True,True,True,True,True,True,True,True,True,True,False
CO0043,P060006,P070006,HSS228.6X228.6X7.9,True,True,True,True,True,True,True,True,True,True,True,True,False
CO0044,P070006,P080006,HSS228.6X228.6X7.9,True,True,True,True,True,True,True,True,True,True,True,True,False
CO0045,P080006,P090006,HSS228.6X228.6X7.9,True,True,True,True,True,True,True,True,True,True,True,True,False
CO0046,P090006,P100006,HSS228.6X228.6X7.9,True,True,True,True,True,True,True,True,True,True,True,True,False
CO0047,P100006,P110006,HSS228.6X228.6X7.9,True,True,True,True,True,True,True,True,True,True,True,True,False
CO0048,P110006,P120006,HSS228.6X228.6X7.9,True,True,True,True,True,True,True,True,True,True,True,True,False
BE0001,P010000,P010001,HSS177.8X177.8X6.4,True,True,True,True,True,True,True,True,True,True,True,True,False
BE0002,P020000,P020001,HSS101.6X101.6X4.8,True,True,True,True,True,True,True,True,True,True,True,True,False
BE0003,P030000,P030001,HSS101.6X101.6X4.8,True,True,True,True,True,True,True,True,True,True,True,True,False
BE0004,P040000,P040001,HSS88.9X88.9X3.2,True,True,True,True,True,True,True,True,True,True,True,True,False
BE0005,P050000,P050001,HSS127X127X4.8,True,True,True,True,True,True,True,True,True,True,True,True,False
BE0006,P060000,P060001,HSS203.2X203.2X7.9,True,True,True,True,True,True,True,True,True,True,True,True,False
BE0007,P070000,P070001,HSS114.3X114.3X4.8,True,True,True,True,True,True,True,True,True,True,True,True,False
BE0008,P080000,P080001,HSS101.6X101.6X4.8,True,True,True,True,True,True,True,True,True,True,True,True,False
BE0009,P090000,P090001,HSS127X127X4.8,True,True,True,True,True,True,True,True,True,True,True,True,False
BE0010,P100000,P100001,HSS177.8X177.8X6.4,True,True,True,True,True,True,True,True,True,True,True,True,False
BE0011,P110000,P110001,HSS88.9X88.9X3.2,True,True,True,True,True,True,True,True,True,True,True,True,False
BE0012,P120000,P120001,HSS228.6X228.6X7.9,True,True,True,True,True,True,True,True,True,True,True,True,False
BE0013,P010001,P010002,HSS177.8X177.8X6.4,True,True,True,True,True,True,True,True,True,True,True,True,False
BE0014,P020001,P020002,HSS101.6X101.6X4.8,True,True,True,True,True,True,True,True,True,True,True,True,False
BE0015,P030001,P030002,HSS101.6X101.6X4.8,True,True,True,True,True,True,True,True,True,True,True,True,False
BE0016,P040001,P040002,HSS88.9X88.9X3.2,True,True,True,True,True,True,True,True,True,True,True,True,False
BE0017,P050001,P050002,HSS127X127X4.8,True,True,True,True,True,True,True,True,True,True,True,True,False
BE0018,P060001,P060002,HSS203.2X203.2X7.9,True,True,True,True,True,True,True,True,True,True,True,True,False
BE0019,P070001,P070002,HSS114.3X114.3X4.8,True,True,True,True,True,True,True,True,True,True,True,True,False
BE0020,P080001,P080002,HSS101.6X101.6X4.8,True,True,True,True,True,True,True,True,True,True,True,True,False
BE0021,P090001,P090002,HSS127X127X4.8,True,True,True,True,True,True,True,True,True,True,True,True,False
BE0022,P100001,P100002,HSS177.8X177.8X6.4,True,True,True,True,True,True,True,True,True,True,True,True,False
BE0023,P110001,P110002,HSS88.9X88.9X3.2,True,True,True,True,True,True,True,True,True,True,True,True,False
BE0024,P120001,P120002,HSS228.6X228.6X7.9,True,True,True,True,True,True,True,True,True,True,True,True,False
