member_ID,start_node,end_node,size,PI,V2I,V3I,TI,PJ,V2J,V3J,TJ,M2I,M3I,M2J,M3J,add_back?
BE0011,P001121,P001221,0,True,True,True,True,True,True,True,True,False,False,False,False,False
BE0012,P001121,P001122,0,True,True,True,True,True,True,True,True,False,False,False,False,False
BR0047,P001121,X00112165,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0048,P011221,X00112165,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0049,P001121,X00112167,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0050,P011122,X00112167,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0051,P001121,X00112054,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0052,P011120,X00112054,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0053,P001121,X00112171,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0054,P001222,X00112171,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0055,P001121,X00112058,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0056,P001220,X00112058,0,True,True,True,True,True,True,True,True,False,False,True,True,False
CO0008,P001122,P011122,HSS114.3X114.3X4.8,True,True,True,True,True,True,True,True,True,True,True,True,False
BE0013,P001122,P001222,0,True,True,True,True,True,True,True,True,False,False,False,False,False
BE0014,P001122,P001123,0,True,True,True,True,True,True,True,True,False,False,False,False,False
BR0057,P001122,X00112278,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0058,P011222,X00112278,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0059,P001122,X00112280,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0060,P011123,X00112280,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0061,P001122,X00112167,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0062,P011121,X00112167,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0063,P001122,X00112284,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0064,P001223,X00112284,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0065,P001122,X00112171,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0066,P001221,X00112171,0,True,True,True,True,True,True,True,True,False,False,True,True,False
CO0009,P001123,P011123,HSS114.3X114.3X4.8,True,True,True,True,True,True,True,True,True,True,True,True,False
BE0015,P001123,P001223,0,True,True,True,True,True,True,True,True,False,False,False,False,False
BE0016,P001123,P001124,0,True,True,True,True,True,True,True,True,False,False,False,False,False
BR0067,P001123,X00112391,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0068,P011223,X00112391,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0069,P001123,X00112393,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0070,P011124,X00112393,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0071,P001123,X00112280,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0072,P011122,X00112280,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0073,P001123,X00112397,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0074,P001224,X00112397,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0075,P001123,X00112284,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0076,P001222,X00112284,0,True,True,True,True,True,True,True,True,False,False,True,True,False
CO0010,P001124,P011124,HSS114.3X114.3X4.8,True,True,True,True,True,True,True,True,True,True,True,True,False
BE0017,P001124,P001224,0,True,True,True,True,True,True,True,True,False,False,False,False,False
BR0077,P001124,X001124103,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0078,P011224,X001124103,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0079,P001124,X00112393,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0080,P011123,X00112393,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0081,P001124,X001124107,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0082,P001225,X001124107,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0083,P001124,X00112397,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0084,P001223,X00112397,0,True,True,True,True,True,True,True,True,False,False,True,True,False
CO0011,P001217,P011217,HSS127X127X4.8,True,True,True,True,True,True,True,True,True,True,True,True,False
BE0018,P001217,P001218,0,True,True,True,True,True,True,True,True,False,False,False,False,False
BR0085,P001217,X001217113,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0086,P011218,X001217113,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0087,P001217,X00111715,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0088,P011117,X00111715,0,True,True,True,True,True,True,True,True,False,False,True,True,False
CO0012,P001218,P011218,HSS127X127X4.8,True,True,True,True,True,True,True,True,True,True,True,True,False
BE0019,P001218,P001219,0,True,True,True,True,True,True,True,True,False,False,False,False,False
BR0089,P001218,X001218119,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0090,P011219,X001218119,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0091,P001218,X001217113,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0092,P011217,X001217113,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0093,P001218,X00111826,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0094,P011118,X00111826,HSS76.2X3.2,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0095,P001218,X001218125,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0096,P001319,X001218125,0,True,True,True,True,True,True,True,True,False,False,True,True,False
CO0013,P001219,P011219,HSS114.3X114.3X4.8,True,True,True,True,True,True,True,True,True,True,True,True,False
BE0020,P001219,P001319,0,True,True,True,True,True,True,True,True,False,False,False,False,False
BE0021,P001219,P001220,0,True,True,True,True,True,True,True,True,False,False,False,False,False
BR0097,P001219,X001219130,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0098,P011319,X001219130,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0099,P001219,X001219132,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0100,P011220,X001219132,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0101,P001219,X001218119,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0102,P011218,X001218119,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0103,P001219,X00111939,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0104,P011119,X00111939,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0105,P001219,X001219138,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0106,P001320,X001219138,0,True,True,True,True,True,True,True,True,False,False,True,True,False
CO0014,P001220,P011220,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BE0022,P001220,P001320,0,True,True,True,True,True,True,True,True,False,False,False,False,False
BE0023,P001220,P001221,0,True,True,True,True,True,True,True,True,False,False,False,False,False
BR0107,P001220,X001220143,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0108,P011320,X001220143,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0109,P001220,X001220145,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0110,P011221,X001220145,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0111,P001220,X001219132,HSS76.2X3.2,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0112,P011219,X001219132,HSS76.2X3.2,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0113,P001220,X00112052,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0114,P011120,X00112052,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0115,P001220,X001220151,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0116,P001321,X001220151,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0117,P001220,X001219138,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0118,P001319,X001219138,0,True,True,True,True,True,True,True,True,False,False,True,True,False
CO0015,P001221,P011221,HSS114.3X114.3X4.8,True,True,True,True,True,True,True,True,True,True,True,True,False
BE0024,P001221,P001321,0,True,True,True,True,True,True,True,True,False,False,False,False,False
BE0025,P001221,P001222,0,True,True,True,True,True,True,True,True,False,False,False,False,False
BR0119,P001221,X001221158,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0120,P011321,X001221158,HSS76.2X3.2,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0121,P001221,X001221160,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0122,P011222,X001221160,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0123,P001221,X001220145,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0124,P011220,X001220145,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0125,P001221,X00112165,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0126,P011121,X00112165,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0127,P001221,X001221166,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0128,P001322,X001221166,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0129,P001221,X001220151,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0130,P001320,X001220151,0,True,True,True,True,True,True,True,True,False,False,True,True,False
CO0016,P001222,P011222,HSS114.3X114.3X4.8,True,True,True,True,True,True,True,True,True,True,True,True,False
BE0026,P001222,P001322,0,True,True,True,True,True,True,True,True,False,False,False,False,False
BE0027,P001222,P001223,0,True,True,True,True,True,True,True,True,False,False,False,False,False
BR0131,P001222,X001222173,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0132,P011322,X001222173,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0133,P001222,X001222175,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0134,P011223,X001222175,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0135,P001222,X001221160,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0136,P011221,X001221160,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0137,P001222,X00112278,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0138,P011122,X00112278,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0139,P001222,X001222181,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0140,P001323,X001222181,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0141,P001222,X001221166,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0142,P001321,X001221166,0,True,True,True,True,True,True,True,True,False,False,True,True,False
CO0017,P001223,P011223,HSS114.3X114.3X4.8,True,True,True,True,True,True,True,True,True,True,True,True,False
BE0028,P001223,P001323,0,True,True,True,True,True,True,True,True,False,False,False,False,False
BE0029,P001223,P001224,0,True,True,True,True,True,True,True,True,False,False,False,False,False
BR0143,P001223,X001223188,HSS76.2X3.2,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0144,P011323,X001223188,HSS76.2X3.2,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0145,P001223,X001223190,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0146,P011224,X001223190,HSS76.2X3.2,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0147,P001223,X001222175,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0148,P011222,X001222175,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0149,P001223,X00112391,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0150,P011123,X00112391,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0151,P001223,X001223196,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0152,P001324,X001223196,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0153,P001223,X001222181,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0154,P001322,X001222181,0,True,True,True,True,True,True,True,True,False,False,True,True,False
CO0018,P001224,P011224,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BE0030,P001224,P001324,0,True,True,True,True,True,True,True,True,False,False,False,False,False
BE0031,P001224,P001225,0,True,True,True,True,True,True,True,True,False,False,False,False,False
BR0155,P001224,X001224203,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0156,P011324,X001224203,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0157,P001224,X001224205,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0158,P011225,X001224205,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0159,P001224,X001223190,HSS76.2X3.2,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0160,P011223,X001223190,HSS88.9X3.2,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0161,P001224,X001124103,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0162,P011124,X001124103,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0163,P001224,X001223196,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0164,P001323,X001223196,0,True,True,True,True,True,True,True,True,False,False,True,True,False
CO0019,P001225,P011225,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0165,P001225,X001224205,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0166,P011224,X001224205,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0167,P001225,X001225216,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0168,P001324,X001225216,0,True,True,True,True,True,True,True,True,False,False,True,True,False
CO0020,P001319,P011319,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BE0032,P001319,P001320,0,True,True,True,True,True,True,True,True,False,False,False,False,False
BR0169,P001319,X001319220,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0170,P011320,X001319220,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0171,P001319,X001219130,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0172,P011219,X001219130,0,True,True,True,True,True,True,True,True,False,False,True,True,False
CO0021,P001320,P011320,0,True,True,True,True,True,True,True,True,True,True,True,True,False
