node_ID,x_coord,y_coord,z_coord,isSupport 
P001115,16353254.45,13445068.67,58197.74855,1
P001116,16351257.2,13444964.0,58197.74855,1
P001117,16349259.94,13444859.33,58197.74855,1
P001118,16347262.68,13444754.66,58197.74855,1
P001119,16345265.42,13444649.98,58197.74855,1
P001120,16343268.16,13444545.31,58197.74855,1
P001121,16341270.9,13444440.64,58197.74855,1
P001122,16339273.64,13444335.97,58197.74855,1
P001123,16337276.38,13444231.3,58197.74855,1
P001124,16335279.12,13444126.62,58197.74855,1
P001217,16349364.61,13442862.07,58197.74855,1
P001218,16347367.35,13442757.4,58197.74855,1
P001219,16345370.09,13442652.72,58197.74855,1
P001220,16343372.83,13442548.05,58197.74855,1
P001221,16341375.57,13442443.38,58197.74855,1
P001222,16339378.31,13442338.71,58197.74855,1
P001223,16337381.05,13442234.04,58197.74855,1
P001224,16335383.79,13442129.36,58197.74855,1
P001225,16333386.54,13442024.69,58197.74855,1
P001319,16345474.76,13440655.47,58197.74855,1
P001320,16343477.5,13440550.79,58197.74855,1
P001321,16341480.24,13440446.12,58197.74855,1
P001322,16339482.98,13440341.45,58197.74855,1
P001323,16337485.73,13440236.78,58197.74855,1
P001324,16335488.47,13440132.11,58197.74855,1
P011115,16353254.45,13445068.67,60197.74855,0
P011116,16351257.2,13444964.0,60197.74855,0
P011117,16349259.94,13444859.33,60197.74855,0
P011118,16347262.68,13444754.66,60197.74855,0
P011119,16345265.42,13444649.98,60197.74855,0
P011120,16343268.16,13444545.31,60197.74855,0
P011121,16341270.9,13444440.64,60197.74855,0
P011122,16339273.64,13444335.97,60197.74855,0
P011123,16337276.38,13444231.3,60197.74855,0
P011124,16335279.12,13444126.62,60197.74855,0
P011217,16349364.61,13442862.07,60197.74855,0
P011218,16347367.35,13442757.4,60197.74855,0
P011219,16345370.09,13442652.72,60197.74855,0
P011220,16343372.83,13442548.05,60197.74855,0
P011221,16341375.57,13442443.38,60197.74855,0
P011222,16339378.31,13442338.71,60197.74855,0
P011223,16337381.05,13442234.04,60197.74855,0
P011224,16335383.79,13442129.36,60197.74855,0
P011225,16333386.54,13442024.69,60197.74855,0
P011319,16345474.76,13440655.47,60197.74855,0
P011320,16343477.5,13440550.79,60197.74855,0
P011321,16341480.24,13440446.12,60197.74855,0
P011322,16339482.98,13440341.45,60197.74855,0
P011323,16337485.73,13440236.78,60197.74855,0
P011324,16335488.47,13440132.11,60197.74855,0
P021115,16353254.45,13445068.67,62197.74855,0
P021116,16351257.2,13444964.0,62197.74855,0
P021117,16349259.94,13444859.33,62197.74855,0
P021118,16347262.68,13444754.66,62197.74855,0
P021119,16345265.42,13444649.98,62197.74855,0
P021120,16343268.16,13444545.31,62197.74855,0
P021121,16341270.9,13444440.64,62197.74855,0
P021122,16339273.64,13444335.97,62197.74855,0
P021123,16337276.38,13444231.3,62197.74855,0
P021218,16347367.35,13442757.4,62197.74855,0
P021219,16345370.09,13442652.72,62197.74855,0
P021220,16343372.83,13442548.05,62197.74855,0
P021221,16341375.57,13442443.38,62197.74855,0
P021222,16339378.31,13442338.71,62197.74855,0
P021223,16337381.05,13442234.04,62197.74855,0
P021321,16341480.24,13440446.12,62197.74855,0
P021322,16339482.98,13440341.45,62197.74855,0
P021323,16337485.73,13440236.78,62197.74855,0
P031119,16345265.42,13444649.98,64197.74855,0
P031120,16343268.16,13444545.31,64197.74855,0
P031121,16341270.9,13444440.64,64197.74855,0
X00111502,16352255.82,13445016.34,59197.74855,0
X00111606,16350258.57,13444911.66,59197.74855,0
X00111610,16350310.9,13443913.03,58197.74855,0
X00111715,16349312.27,13443860.7,59197.74855,0
X00111717,16348261.31,13444806.99,59197.74855,0
X00111721,16348313.64,13443808.36,58197.74855,0
X00111826,16347315.01,13443756.03,59197.74855,0
X00111828,16346264.05,13444702.32,59197.74855,0
X00111832,16346316.38,13443703.69,58197.74855,0
X00111939,16345317.75,13443651.35,59197.74855,0
X00111941,16344266.79,13444597.65,59197.74855,0
X00111945,16344319.12,13443599.02,58197.74855,0
X00112052,16343320.49,13443546.68,59197.74855,0
X00112054,16342269.53,13444492.98,59197.74855,0
X00112058,16342321.87,13443494.35,58197.74855,0
X00112165,16341323.24,13443442.01,59197.74855,0
X00112167,16340272.27,13444388.3,59197.74855,0
X00112171,16340324.61,13443389.67,58197.74855,0
X00112278,16339325.98,13443337.34,59197.74855,0
X00112280,16338275.01,13444283.63,59197.74855,0
X00112284,16338327.35,13443285.0,58197.74855,0
X00112391,16337328.72,13443232.67,59197.74855,0
X00112393,16336277.75,13444178.96,59197.74855,0
X00112397,16336330.09,13443180.33,58197.74855,0
X001124103,16335331.46,13443127.99,59197.74855,0
X001124107,16334332.83,13443075.66,58197.74855,0
X001217113,16348365.98,13442809.73,59197.74855,0
X001218119,16346368.72,13442705.06,59197.74855,0
X001218125,16346421.06,13441706.43,58197.74855,0
X001219130,16345422.43,13441654.09,59197.74855,0
X001219132,16344371.46,13442600.39,59197.74855,0
X001219138,16344423.8,13441601.76,58197.74855,0
X001220143,16343425.17,13441549.42,59197.74855,0
X001220145,16342374.2,13442495.72,59197.74855,0
X001220151,16342426.54,13441497.09,58197.74855,0
X001221158,16341427.91,13441444.75,59197.74855,0
X001221160,16340376.94,13442391.04,59197.74855,0
X001221166,16340429.28,13441392.42,58197.74855,0
X001222173,16339430.65,13441340.08,59197.74855,0
X001222175,16338379.68,13442286.37,59197.74855,0
X001222181,16338432.02,13441287.74,58197.74855,0
X001223188,16337433.39,13441235.41,59197.74855,0
X001223190,16336382.42,13442181.7,59197.74855,0
X001223196,16336434.76,13441183.07,58197.74855,0
X001224203,16335436.13,13441130.74,59197.74855,0
X001224205,16334385.17,13442077.03,59197.74855,0
X001225216,16334437.5,13441078.4,58197.74855,0
X001319220,16344476.13,13440603.13,59197.74855,0
X001320226,16342478.87,13440498.46,59197.74855,0
X001321234,16340481.61,13440393.79,59197.74855,0
X001322242,16338484.36,13440289.11,59197.74855,0
X001323250,16336487.1,13440184.44,59197.74855,0
X011115263,16352255.82,13445016.34,61197.74855,0
X011116267,16350258.57,13444911.66,61197.74855,0
X011116271,16350310.9,13443913.03,60197.74855,0
X011117276,16348261.31,13444806.99,61197.74855,0
X011117280,16348313.64,13443808.36,60197.74855,0
X011118285,16347315.01,13443756.03,61197.74855,0
X011118287,16346264.05,13444702.32,61197.74855,0
X011118291,16346316.38,13443703.69,60197.74855,0
X011119298,16345317.75,13443651.35,61197.74855,0
X011119300,16344266.79,13444597.65,61197.74855,0
X011119304,16344319.12,13443599.02,60197.74855,0
X011120311,16343320.49,13443546.68,61197.74855,0
X011120313,16342269.53,13444492.98,61197.74855,0
X011120317,16342321.87,13443494.35,60197.74855,0
X011121324,16341323.24,13443442.01,61197.74855,0
X011121326,16340272.27,13444388.3,61197.74855,0
X011121330,16340324.61,13443389.67,60197.74855,0
X011122337,16339325.98,13443337.34,61197.74855,0
X011122339,16338275.01,13444283.63,61197.74855,0
X011122343,16338327.35,13443285.0,60197.74855,0
X011123350,16337328.72,13443232.67,61197.74855,0
X011123354,16336330.09,13443180.33,60197.74855,0
X011124359,16336277.75,13444178.96,61197.74855,0
X011124361,16334332.83,13443075.66,60197.74855,0
X011217366,16348365.98,13442809.73,61197.74855,0
X011217368,16349312.27,13443860.7,61197.74855,0
X011218372,16346368.72,13442705.06,61197.74855,0
X011218376,16346421.06,13441706.43,60197.74855,0
X011219381,16344371.46,13442600.39,61197.74855,0
X011219387,16344423.8,13441601.76,60197.74855,0
X011220392,16342374.2,13442495.72,61197.74855,0
X011220398,16342426.54,13441497.09,60197.74855,0
X011221405,16341427.91,13441444.75,61197.74855,0
X011221407,16340376.94,13442391.04,61197.74855,0
X011221413,16340429.28,13441392.42,60197.74855,0
X011222420,16339430.65,13441340.08,61197.74855,0
X011222422,16338379.68,13442286.37,61197.74855,0
X011222428,16338432.02,13441287.74,60197.74855,0
X011223435,16337433.39,13441235.41,61197.74855,0
X011223441,16336434.76,13441183.07,60197.74855,0
X011224447,16336382.42,13442181.7,61197.74855,0
X011225451,16334437.5,13441078.4,60197.74855,0
X011319454,16345422.43,13441654.09,61197.74855,0
X011320457,16342478.87,13440498.46,61197.74855,0
X011320459,16343425.17,13441549.42,61197.74855,0
X011321463,16340481.61,13440393.79,61197.74855,0
X011322469,16338484.36,13440289.11,61197.74855,0
X011324481,16336487.1,13440184.44,61197.74855,0
X021117486,16348313.64,13443808.36,62197.74855,0
X021118490,16346264.05,13444702.32,63197.74855,0
X021118492,16346316.38,13443703.69,62197.74855,0
X021119497,16344266.79,13444597.65,63197.74855,0
X021119499,16344319.12,13443599.02,62197.74855,0
X021120506,16342269.53,13444492.98,63197.74855,0
X021120510,16342321.87,13443494.35,62197.74855,0
X021121519,16340324.61,13443389.67,62197.74855,0
X021122525,16340272.27,13444388.3,63197.74855,0
X021122527,16338327.35,13443285.0,62197.74855,0
X021219536,16345317.75,13443651.35,63197.74855,0
X021220539,16343320.49,13443546.68,63197.74855,0
X021220541,16342426.54,13441497.09,62197.74855,0
X021221545,16341323.24,13443442.01,63197.74855,0
X021221547,16340429.28,13441392.42,62197.74855,0
X021222551,16338432.02,13441287.74,62197.74855,0
