Type	AISC_Manual_Label	W
HSS	HSS76.2X3.2	5.72
HSS	HSS73X6.4	10.4
HSS	HSS73X5.2	8.63
HSS	HSS73X4.8	8.04
HSS	HSS73X3.2	5.47
HSS	HSS63.5X6.4	8.95
HSS	HSS63.5X4.8	6.91
HSS	HSS63.5X3.2	4.72
HSS	HSS60.3X6.4	8.45
HSS	HSS60.3X5.5	7.48
HSS	HSS60.3X4.8	6.54
HSS	HSS60.3X3.9	5.44
HSS	HSS60.3X3.2	4.47
HSS	HSS48.3X4.8	5.12
HSS	HSS48.3X3.7	4.05
HSS	HSS48.3X3.0	3.4
HSS	HSS42.2X3.6	3.38
